Ticker,Ensemble_Score,XGBoost_Prob,LSTM_Prob,Both_Bullish,RSI_14,Return_20d,Volatility_20d
HUBB,0.5601,0.6027,0.5081,False,-0.5,70.78,64.9723
WSM,0.5599,0.6301,0.474,False,1.7,312.03,513.7567
STX,0.5596,0.5965,0.5145,False,-0.9,-13.99,-26.7774
RMD,0.5595,0.6221,0.483,False,-0.5,9.51,-9.4434
FTV,0.5595,0.544,0.5785,False,0.8,108.04,-36.4926
ADP,0.5593,0.6116,0.4954,False,-0.0,47.64,-38.1129
PSX,0.5592,0.4979,0.634,False,1.9,105.47,-37.6592
SCHW,0.5581,0.5651,0.5495,False,2.1,180.57,38.2645
EMR,0.5577,0.5436,0.5749,False,0.8,249.03,76.2939
ALGN,0.5576,0.5673,0.5458,False,0.2,136.2,124.6986
AVB,0.5576,0.5853,0.5238,False,-0.1,48.65,-24.8269
INTC,0.5575,0.591,0.5167,False,-1.1,115.02,196.3141
FOXA,0.5571,0.6272,0.4715,False,0.6,120.21,18.2565
AZO,0.5567,0.6844,0.4006,False,0.1,38.32,-6.7199
PSKY,0.5562,0.5824,0.5243,False,-0.4,-35.24,119.405
LUV,0.5556,0.5876,0.5164,False,0.1,44.12,-22.4656
PAYX,0.5543,0.6047,0.4925,False,-0.7,42.41,-3.1846
NOW,0.5543,0.6135,0.4818,False,0.4,123.68,-10.8206
GLW,0.5542,0.6235,0.4695,False,-0.1,9.01,-43.4076
GEN,0.554,0.5887,0.5117,False,0.8,51.36,-37.0627
AMD,0.554,0.6337,0.4567,False,-1.3,-82.54,20.8862
NFLX,0.5532,0.5837,0.516,False,1.2,181.22,-20.2456
SLB,0.5531,0.5267,0.5853,False,0.2,89.95,38.1249
WM,0.5528,0.5491,0.5573,False,0.3,43.04,-82.0403
GPC,0.5528,0.5875,0.5103,False,0.4,99.87,17.0126
APA,0.5519,0.5638,0.5373,False,0.5,-73.5,155.4978
LMT,0.5519,0.6131,0.4771,False,-1.5,-61.82,-24.4822
BX,0.5517,0.6196,0.4687,False,0.8,140.79,21.7111
ORLY,0.5516,0.5751,0.5229,False,0.3,67.9,-3.267
TRMB,0.5515,0.5447,0.5598,False,-0.1,220.8,258.2167
LEN,0.5514,0.5733,0.5246,False,-0.1,3.27,59.8114
SPG,0.5508,0.5605,0.5391,False,0.5,76.86,-65.0653
CVX,0.5507,0.5432,0.5598,False,0.8,93.07,-51.4285
LITE,0.5506,0.5768,0.5185,False,0.1,406.62,282.1709
TRV,0.5505,0.5534,0.5469,False,0.7,72.21,-51.0364
HBAN,0.5498,0.5725,0.522,False,0.7,160.01,141.5645
EL,0.5497,0.5795,0.5133,False,1.2,35.63,108.4607
JBHT,0.549,0.5904,0.4984,False,-0.5,33.59,25.0974
APTV,0.5489,0.5912,0.4972,False,-0.4,-52.74,47.0971
NTAP,0.5489,0.5677,0.526,False,-0.4,50.52,68.2023
EW,0.5485,0.5215,0.5815,False,1.2,51.95,-48.8168
KEYS,0.5483,0.5568,0.5379,False,0.1,149.59,106.7442
PRU,0.5477,0.5569,0.5364,False,1.5,55.11,22.0444
EA,0.5477,0.5727,0.5173,False,0.5,77.6,-56.6936
SW,0.5474,0.5521,0.5418,False,0.5,63.96,28.6005
ATO,0.5472,0.5467,0.5478,False,1.4,90.12,-83.2696
PGR,0.5467,0.5613,0.5289,False,0.5,102.73,-18.9194
ALL,0.5467,0.5426,0.5517,False,1.0,114.14,-24.4159
WRB,0.5459,0.5523,0.5381,False,1.2,128.79,-33.8866
WMB,0.5457,0.6092,0.4681,False,0.5,114.86,-12.7282
EBAY,0.5455,0.5672,0.5189,False,0.3,100.18,-18.6406
HAL,0.5452,0.5023,0.5976,False,1.7,152.0,42.3817
MAR,0.545,0.5483,0.541,False,0.5,111.13,2.3795
ISRG,0.5449,0.5567,0.5305,False,0.0,65.06,-60.5768
BLDR,0.5446,0.5628,0.5224,False,0.3,79.61,65.8984
CIEN,0.5441,0.6101,0.4634,False,-0.7,91.39,50.757
CSCO,0.5441,0.5781,0.5026,False,0.3,71.42,-64.6057
AES,0.5441,0.6024,0.4728,False,-0.7,-265.32,207.9788
PTC,0.5441,0.5695,0.513,False,0.7,69.53,2.5934
LHX,0.5429,0.5844,0.4921,False,-1.2,-25.69,7.1937
CINF,0.5427,0.5695,0.5099,False,1.6,135.75,13.2326
COR,0.5424,0.5487,0.5347,False,0.1,100.49,-19.1138
ROK,0.542,0.5487,0.5337,False,1.2,108.0,138.0239
WTW,0.5417,0.5446,0.5381,False,0.4,52.89,-63.6123
CRWD,0.5415,0.5285,0.5575,False,0.2,172.15,81.063
RL,0.5413,0.5797,0.4944,False,0.2,176.58,76.3417
UBER,0.5412,0.5978,0.472,False,-0.3,-26.91,20.5394
HWM,0.5412,0.5887,0.483,False,0.4,199.13,160.084
BXP,0.5411,0.5792,0.4946,False,-0.5,-4.21,-29.6081
